ID,PROGRAMA,N_PERIODOS,SECUENCIA_ESTADOS,SECUENCIA_TRANSICIONES,ESTADO_FINAL_PRED,ESTADO_FINAL_REAL
T00064639,INGENIERIA DE SISTEMAS Y COMPU,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064640,INGENIERIA INDUSTRIAL,7,Primera vez en una carrera → PAP → PAT → Recuperación académica → Primera vez en una carrera → Continuo regular → PAP,bbeeabc,Grado,Grado
T00064649,INGENIERIA INDUSTRIAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064654,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → PAP → PAT → Continuo regular → Continuo regular → Continuo regular,aaababbaaac,Grado,Grado
T00064656,COMUNICACION SOCIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaakaac,Grado,Grado
T00064658,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular,aaabbabaaac,Grado,Grado
T00064662,ECONOMIA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular,aaaaaabaac,Grado,Grado
T00064669,INGENIERIA MECANICA,11,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Primera vez en una carrera → Continuo regular → Continuo regular,bbeeeeeeaac,Grado,Grado
T00064672,FINANZAS Y NEGOCIOS INTERNACIO,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064673,INGENIERIA DE SISTEMAS Y COMPU,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064676,INGENIERIA CIVIL,3,Primera vez en una carrera → Continuo regular → PAP,abc,Grado,Grado
T00064681,FINANZAS Y NEGOCIOS INTERNACIO,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064682,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064688,PSICOLOGIA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaakaaaac,Grado,Grado
T00064692,DERECHO,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064693,INGENIERIA INDUSTRIAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular,aaaaaabaaac,Grado,Grado
T00064695,INGENIERIA MECANICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064696,PSICOLOGIA,9,Primera vez en una carrera → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,baaaaaaac,Grado,Grado
T00064698,INGENIERIA DE SISTEMAS Y COMPU,1,Primera vez en una carrera,c,Grado,Grado
T00064700,INGENIERIA QUIMICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaabaaaaaac,Grado,Grado
T00064702,PSICOLOGIA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064705,INGENIERIA CIVIL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064706,INGENIERIA BIOMEDICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064710,FINANZAS Y NEGOCIOS INTERNACIO,4,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular,aaac,Grado,Grado
T00064711,ADMINISTRACION DE EMPRESAS,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064712,INGENIERIA ELECTRICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064715,INGENIERIA DE SISTEMAS Y COMPU,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064716,PSICOLOGIA,5,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → Continuo regular,aabkc,Grado,Grado
T00064717,PSICOLOGIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064718,INGENIERIA DE SISTEMAS Y COMPU,5,Primera vez en una carrera → Continuo regular → PAP → PAT → Recuperación académica,kbbec,Grado,Grado
T00064720,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064722,INGENIERIA ELECTRONICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064728,INGENIERIA DE SISTEMAS Y COMPU,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064735,PSICOLOGIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064739,FINANZAS Y NEGOCIOS INTERNACIO,3,Primera vez en una carrera → Continuo regular → Continuo regular,aac,Grado,Grado
T00064741,INGENIERIA NAVAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → PAP → PAT → Recuperación académica → Continuo regular,aaababbeac,Grado,Grado
T00064744,INGENIERIA MECATRONICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064746,FINANZAS Y NEGOCIOS INTERNACIO,8,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Primera vez en una carrera,bbeeeekk,Final,Final
T00064747,COMUNICACION SOCIAL,6,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaac,Grado,Grado
T00064750,INGENIERIA MECATRONICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,aaaaaaaaabc,Grado,Grado
T00064751,FINANZAS Y NEGOCIOS INTERNACIO,11,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Primera vez en una carrera → Continuo regular → Continuo regular,bbeeeeeeaac,Grado,Grado
T00064753,PSICOLOGIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064754,INGENIERIA AMBIENTAL,1,Primera vez en una carrera,k,Final,Final
T00064755,INGENIERIA BIOMEDICA,10,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Primera vez en una carrera → Continuo regular,bbeeeeekac,Grado,Grado
T00064756,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,aaaaaaaaabc,Grado,Grado
T00064759,PSICOLOGIA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064760,INGENIERIA INDUSTRIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064761,INGENIERIA INDUSTRIAL,5,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaac,Grado,Grado
T00064762,INGENIERIA DE SISTEMAS Y COMPU,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064770,INGENIERIA ELECTRICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064771,INGENIERIA MECANICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular,aaabaaabac,Grado,Grado
T00064774,INGENIERIA ELECTRICA,11,Primera vez en una carrera → PAP → PAT → Continuo regular → PAP → PAT → Recuperación académica → Continuo regular → PAP → PAT → Continuo regular,bbabbeabbac,Grado,Grado
T00064775,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064778,INGENIERIA NAVAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064780,INGENIERIA DE SISTEMAS Y COMPU,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaabaaaac,Grado,Grado
T00064781,INGENIERIA ELECTRONICA,9,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Primera vez en una carrera → Continuo regular → PAP → Continuo regular,bbeeeabac,Grado,Grado
T00064782,COMUNICACION SOCIAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064784,PSICOLOGIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064785,DERECHO,2,Primera vez en una carrera → PAP,bk,Final,Final
T00064786,INGENIERIA ELECTRONICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064789,FINANZAS Y NEGOCIOS INTERNACIO,1,Primera vez en una carrera,c,Grado,Grado
T00064791,INGENIERIA CIVIL,1,Primera vez en una carrera,k,Final,Final
T00064793,INGENIERIA ELECTRONICA,1,Primera vez en una carrera,k,Final,Final
T00064795,INGENIERIA QUIMICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064796,INGENIERIA MECATRONICA,1,Primera vez en una carrera,k,Final,Final
T00064797,INGENIERIA DE SISTEMAS Y COMPU,10,Primera vez en una carrera → PAP → PAT → Recuperación académica → Primera vez en una carrera → Continuo regular → Continuo regular → PAP → Continuo regular → PAP,bbeeaababc,Grado,Grado
T00064798,DERECHO,1,Primera vez en una carrera,c,Grado,Grado
T00064799,INGENIERIA ELECTRICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064802,INGENIERIA NAVAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaabaaaaaac,Grado,Grado
T00064803,INGENIERIA MECANICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular,aaaaaaabkc,Grado,Grado
T00064804,ARQUITECTURA,11,Primera vez en una carrera → PAP → PAT → Recuperación académica → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,bbeeaaaaaac,Grado,Grado
T00064805,INGENIERIA MECANICA,5,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → PAT,kabbc,Grado,Grado
T00064807,COMUNICACION SOCIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064809,COMUNICACION SOCIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064811,INGENIERIA BIOMEDICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064814,INGENIERIA ELECTRONICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → PAP → PAT → Recuperación académica,aaaababbec,Grado,Grado
T00064816,ARQUITECTURA,9,Primera vez en una carrera → PAP → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,bkaaaaaac,Grado,Grado
T00064817,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00064818,DERECHO,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00064819,INGENIERIA INDUSTRIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064823,INGENIERIA QUIMICA,10,Primera vez en una carrera → PAP → PAT → Primera vez en una carrera → Continuo regular → PAP → PAT → Recuperación académica → PFU → Continuo regular,bbeabbekgc,Grado,Grado
T00064825,INGENIERIA DE SISTEMAS Y COMPU,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064827,FINANZAS Y NEGOCIOS INTERNACIO,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00064828,INGENIERIA BIOMEDICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064830,INGENIERIA MECANICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064831,INGENIERIA QUIMICA,1,Primera vez en una carrera,k,Final,Final
T00064832,INGENIERIA ELECTRONICA,1,Primera vez en una carrera,c,Grado,Grado
T00064834,PSICOLOGIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064836,PSICOLOGIA,4,Primera vez en una carrera → Continuo regular → Continuo regular → PAP,aabc,Grado,Grado
T00064837,INGENIERIA AMBIENTAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaabaaaaaac,Grado,Grado
T00064839,COMUNICACION SOCIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064843,ADMINISTRACION DE EMPRESAS,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → PAP → Continuo regular → PAP → PAT → Continuo regular,aaabababbac,Grado,Grado
T00064844,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,aaaaaaaaabc,Grado,Grado
T00064852,FINANZAS Y NEGOCIOS INTERNACIO,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064856,PSICOLOGIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064857,INGENIERIA AMBIENTAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064860,COMUNICACION SOCIAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064861,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,c,Grado,Grado
T00064862,FINANZAS Y NEGOCIOS INTERNACIO,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064863,INGENIERIA INDUSTRIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064864,DERECHO,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064865,INGENIERIA DE SISTEMAS Y COMPU,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064869,INGENIERIA MECATRONICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Continuo regular → PAP → Continuo regular → PAP,aaabbkbabc,Grado,Grado
T00064875,COMUNICACION SOCIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064879,FINANZAS Y NEGOCIOS INTERNACIO,1,Primera vez en una carrera,k,Final,Final
T00064880,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00064881,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00064882,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00064883,ADMINISTRACION DE EMPRESAS,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00064884,INGENIERIA CIVIL,1,Primera vez en una carrera,k,Final,Final
T00064885,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00064886,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00064887,CIENCIA POLITICA Y RELAC INTER,1,Primera vez en una carrera,k,Final,Final
T00064888,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00064890,INGENIERIA AMBIENTAL,1,Primera vez en una carrera,k,Final,Final
T00064891,ADMINISTRACION DE EMPRESAS,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,aaaaaaaaabc,Grado,Grado
T00064893,ECONOMIA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaakaaaac,Grado,Grado
T00064894,DERECHO,4,Primera vez en una carrera → Continuo regular → Continuo regular → PAP,aabc,Grado,Grado
T00064895,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00064896,INGENIERIA MECANICA,7,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Continuo regular,aakbbac,Grado,Grado
T00064897,PSICOLOGIA,6,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaakac,Grado,Grado
T00064898,INGENIERIA CIVIL,1,Primera vez en una carrera,k,Final,Final
T00064909,CONTADURIA PUBLICA,9,Primera vez en una carrera → PAP → PAT → Recuperación académica → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular,bbeeaaaac,Grado,Grado
T00064914,INGENIERIA MECATRONICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064915,INGENIERIA CIVIL,5,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP,aaabc,Grado,Grado
T00064918,INGENIERIA ELECTRICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064919,INGENIERIA INDUSTRIAL,5,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → PAT,akbbc,Grado,Grado
T00064920,INGENIERIA CIVIL,10,Primera vez en una carrera → PAP → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,bbaaaaaaac,Grado,Grado
T00064922,INGENIERIA DE SISTEMAS Y COMPU,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Continuo regular → Continuo regular → PAP,aaaaabbaabc,Grado,Grado
T00064923,PSICOLOGIA,11,Primera vez en una carrera → Primera vez en una carrera → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaabaaaaaac,Grado,Grado
T00064925,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00064926,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00064927,ECONOMIA,1,Primera vez en una carrera,c,Grado,Grado
T00064930,CONTADURIA PUBLICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064932,INGENIERIA MECANICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064934,ECONOMIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064935,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064938,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064941,ADMINISTRACION DE EMPRESAS,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064942,INGENIERIA NAVAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular,aaaaaaaabac,Grado,Grado
T00064943,INGENIERIA INDUSTRIAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaabbaaaaac,Grado,Grado
T00064944,INGENIERIA DE SISTEMAS Y COMPU,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00064946,DERECHO,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00064948,PSICOLOGIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00064950,INGENIERIA INDUSTRIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,aaaaaaaabc,Grado,Grado
T00064951,INGENIERIA BIOMEDICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
