ID,PROGRAMA,N_PERIODOS,SECUENCIA_ESTADOS,SECUENCIA_TRANSICIONES,ESTADO_FINAL_PRED,ESTADO_FINAL_REAL
T00067443,INGENIERIA DE SISTEMAS Y COMPU,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067446,INGENIERIA MECANICA,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00067447,INGENIERIA DE SISTEMAS Y COMPU,7,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaac,Grado,Grado
T00067448,INGENIERIA INDUSTRIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067451,INGENIERIA DE SISTEMAS Y COMPU,9,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,abaaaaaac,Grado,Grado
T00067452,INGENIERIA CIVIL,9,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,abaaaaaac,Grado,Grado
T00067457,INGENIERIA NAVAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → PAT → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aabbaaaac,Grado,Grado
T00067459,INGENIERIA MECATRONICA,4,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular,aaac,Grado,Grado
T00067463,INGENIERIA MECANICA,1,Primera vez en una carrera,c,Grado,Grado
T00067464,INGENIERIA MECANICA,8,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,abaaaaac,Grado,Grado
T00067465,ADMINISTRACION DE EMPRESAS,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067469,FINANZAS Y NEGOCIOS INTERNACIO,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaac,Grado,Grado
T00067470,INGENIERIA NAVAL,9,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular,bbeeeaaac,Grado,Grado
T00067472,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067473,INGENIERIA INDUSTRIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067474,INGENIERIA MECANICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067480,INGENIERIA MECANICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067483,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067484,CONTADURIA PUBLICA,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00067486,INGENIERIA QUIMICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067513,CONTADURIA PUBLICA,8,Primera vez en una carrera → PAP → PAT → Primera vez en una carrera → Continuo regular → Continuo regular → PAP → Continuo regular,bbkaabac,Grado,Grado
T00067516,PSICOLOGIA,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular,aaaabaac,Grado,Grado
T00067539,INGENIERIA DE SISTEMAS Y COMPU,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067541,INGENIERIA CIVIL,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaac,Grado,Grado
T00067542,INGENIERIA BIOMEDICA,1,Primera vez en una carrera,k,Final,Final
