ID,PROGRAMA,N_PERIODOS,SECUENCIA_ESTADOS,SECUENCIA_TRANSICIONES,ESTADO_FINAL_PRED,ESTADO_FINAL_REAL,N_ANOMALIAS
T00044858,INGENIERIA AMBIENTAL,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044859,INGENIERIA MECANICA,10,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaakc,Grado,Grado,0
T00044860,INGENIERIA CIVIL,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044861,INGENIERIA CIVIL,10,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaaac,Grado,Grado,0
T00044862,INGENIERIA INDUSTRIAL,11,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP,aaaabaaaabc,Grado,Grado,0
T00044863,INGENIERIA CIVIL,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044864,INGENIERIA MECANICA,4,Primera vez en una carrera -> Continuo regular -> Continuo regular -> PAP,aabc,Grado,Grado,0
T00044867,INGENIERIA AMBIENTAL,11,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaabaaaakac,Grado,Grado,0
T00044868,INGENIERIA AMBIENTAL,14,Primera vez en una carrera -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> PAP -> PAT -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,abaabbakaaaaac,Grado,Grado,0
T00044869,INGENIERIA AMBIENTAL,10,Primera vez en una carrera -> Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,baaaaaaaac,Grado,Grado,0
T00044870,ADMINISTRACION DE EMPRESAS,10,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaaac,Grado,Grado,0
T00044873,INGENIERIA CIVIL,8,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> PAT -> Recuperacion academica -> Recuperacion academica,aaabbeec,Grado,Grado,0
T00044874,ADMINISTRACION DE EMPRESAS,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aabaaaaac,Grado,Grado,0
T00044875,INGENIERIA AMBIENTAL,1,Primera vez en una carrera,c,Grado,Grado,0
T00044876,CONTADURIA PUBLICA,10,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaaac,Grado,Grado,0
T00044877,INGENIERIA CIVIL,1,Primera vez en una carrera,c,Grado,Grado,0
T00044878,FINANZAS Y NEGOCIOS INTERNACIO,12,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Primera vez en una carrera -> Continuo regular -> Continuo regular,aaaaaaaakaac,Grado,Grado,0
T00044879,FINANZAS Y NEGOCIOS INTERNACIO,4,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular,kaac,Grado,Grado,0
T00044880,FINANZAS Y NEGOCIOS INTERNACIO,10,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaaac,Grado,Grado,0
T00044881,CONTADURIA PUBLICA,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044883,INGENIERIA AMBIENTAL,7,Primera vez en una carrera -> PAP -> PAT -> Recuperacion academica -> Recuperacion academica -> Primera vez en una carrera -> PAP,bbeeebc,Grado,Grado,1
T00044884,INGENIERIA CIVIL,12,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP,aaaaaaaakabc,Grado,Grado,0
T00044886,DERECHO,10,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaaac,Grado,Grado,0
T00044887,INGENIERIA MECANICA,12,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaaaaac,Grado,Grado,0
T00044888,INGENIERIA DE SISTEMAS,12,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaaaaac,Grado,Grado,0
T00044890,INGENIERIA INDUSTRIAL,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044894,INGENIERIA INDUSTRIAL,11,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaabaaaaac,Grado,Grado,0
T00044895,INGENIERIA MECANICA,6,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> PAT,aaabbc,Grado,Grado,0
T00044896,INGENIERIA CIVIL,11,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular,aaaaaaabaac,Grado,Grado,0
T00044899,DERECHO,3,Primera vez en una carrera -> Continuo regular -> Continuo regular,aac,Grado,Grado,0
